Subject,File,Gender,Age,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
22,418553408-1494334397.json,m,58,3.7333333333333334,"[140, 919, 67]",mouse,right,English,False,"{'y': 0.10238908116439145, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1024
23,427492453-1494336597.json,f,53,2.316666666666667,"[131, 404, 46]",mouse,right,English,False,"{'y': 0.10241077610625039, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1242
24,433734070-1494334453.json,m,29,2.783333333333333,"[96, 282, 48]",mouse,right,English,False,"{'y': 0.10228606055309973, 'x': 0.5000000140040288}",False,,True,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",996
25,443980882-1494335434.json,f,30,2.8,"[198, 593, 72]",mouse,right,English,False,"{'y': 0.10229322339603195, 'x': 0.49990559506576876}",False,I have no additional comments.,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366
26,488017578-1494337980.json,f,43,1.95,"[94, 307, 42]",mouse,right,english,False,"{'y': 0.10253046206749448, 'x': 0.49999993493450834}",False,"Just so you know - elephants DO have hair.  Not a lot, but they do.  They don't have FUR, however, so...depending on your intent, you may want to change the wording.",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1019
27,50490149-1494334370.json,m,27,2.15,"[1012, 1713, 503]",mouse,right,English,False,"{'y': 0.1026287360460929, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1920
28,529079824-1494335444.json,m,42,12.5,"[585, 845, 353]",mouse,left,english,False,"{'y': 0.10252086306049206, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1920
29,540346551-1494335150.json,m,24,1.9833333333333334,"[573, 1153, 250]",mouse,right,English,False,"{'y': 0.10252290590125494, 'x': 0.5}",False,,True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
30,561468062-1494334252.json,f,32,2.4166666666666665,"[145, 1424, 54]",mouse,right,English,False,"{'y': 0.10250799528698873, 'x': 0.5}",False,I did not. Thank You,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1854
31,575416497-1494334464.json,f,44,2.9833333333333334,"[187, 484, 49]",mouse,right,English,False,"{'y': 0.1024390243902439, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1600
