Subject,Sentence_Type,Adjective,Polarity,Expected_response,Response,Accuracy,RT,MaxDeviation,MaxDeviation.Time,MaxDeviation.Time.Norm,MaxDeviationBorder,MaxDeviationBorder.Time,MaxDeviationBorder.Time.Norm,MaxRatio,MaxLogRatio,MaxRatio.Time,MaxRatio.Time.Norm,MaxDifference,MaxDifference.Time,MaxDifference.Time.Norm,AccPeak,AccPeak.Time,AccPeak.Time.Norm,Int.Ratio.AccPeak,Int.LogRatio.AccPeak,Int.Difference.AccPeak,Int.X.AccPeak,Local.Maxima.Acc,Len.Local.Maxima,Delay,Ratio.Acc
0,EI,2,N,true,false,0,903,0.1116249940055218,460.53,51,1.0252252252252252,216.71999999999997,24,1.3974038849082908,0.33461614722988053,252.83999999999997,28,0.4120044044739617,225.74999999999997,25,0.00014422652141882707,288.96,32,44.24675558939508,10.369216003412031,12.844149410086736,0.05382612612612647,"[[0.00014730351591975616, 27], [8.830477037229757e-05, 30], [0.00014422652141882707, 32]]",3,215,0.31788232057793625
0,EI,H/C,N,true,true,1,1686,0.20989469007189696,438.36,26,0.9747747747747748,151.74,9,0.7198771828834499,-0.32867466085088615,0,0,-0.41375647998417064,0,0,0.00011739047465545346,202.32,12,8.558661780698946,-4.0593547922013915,-5.087512114527035,0.4259369369369368,"[[0.00011739047465545346, 12]]",1,161,-0.44553651281151996
0,EI,L/Q,N,true,true,1,822,0.2661951176519017,822,100,0.8990990990990991,147.96,18,0.6947157433335408,-0.364252519479422,0,0,-0.46725289347469867,0,0,0.000301196289261716,197.28000000000003,24,16.285039802604533,-9.343680574783791,-11.74226281473395,2.7878018018018023,"[[0.000301196289261716, 24]]",1,142,-0.64685505776486
0,EI,2,N,false,false,1,1388,0.24473262708096047,347.0,25,0.8882882882882883,0,0,1.29815333025513,0.2609427393909417,0,0,0.31995158649066213,0,0,0.00023587024973964487,291.48,21,27.111274730791507,5.362524782326705,6.479181330177289,-2.840676676676677,"[[0.00023587024973964487, 21]]",1,243,0.1947909013342815
0,EI,2,P,true,true,1,1066,0.16372198139865027,533.0,50,0.9171171171171171,266.5,25,0.6952995778522789,-0.3634124790220653,0,0,-0.45908678320225493,0,0,8.420837368807952e-05,586.3,55,26.204111017788215,-62.01360664900555,-45.116447481924055,15.511002659802658,"[[6.819875945396476e-05, 27], [9.430824421901187e-05, 30], [5.180935716788868e-05, 35], [9.956285982460804e-05, 52], [8.420837368807952e-05, 55]]",5,260,-5.238213442478331
0,EI,L/Q,P,false,true,0,1105,0.160141628331158,442.0,40,1.0576576576576577,0,0,0.753784662939809,-0.28264854468163,0,0,-0.3530840690889827,0,0,0.00023102326909994042,320.45000000000005,29,21.72976725565448,-8.370944078703255,-10.456938479056637,-1.3818394869070543,"[[0.00023102326909994042, 29]]",1,296,-0.3491502838897701
0,EI,F/S,P,false,false,1,955,0.2550698841271575,553.9000000000001,58,0.9855855855855856,296.05,31,1.3693982940516825,0.3143714419407097,296.05,31,0.3891551213586666,296.05,31,0.00029873275124227446,410.65000000000003,43,57.82762131245597,12.701280254386333,15.257047106926372,-3.542580723580725,"[[0.00029873275124227446, 43]]",1,298,0.10890044414500648
0,EI,F/S,P,true,true,1,1242,0.18447543457211496,0,0,1.1693693693693694,0,0,0.7907825247410221,-0.23473228613290167,0,0,-0.2839131426009571,0,0,0.0001419007794107948,583.74,47,36.95020416438535,-11.317740476402587,-13.693072634035278,-7.47216681360135,"[[0.00010881145684223941, 44], [0.0001419007794107948, 47]]",2,527,-0.38914075806378223
0,EI,1,P,false,false,1,1206,0.11894422381141972,0,0,1.118918918918919,0,0,1.4986189987442995,0.40454401652973,0,0,0.4998423034517192,0,0,0.00025193368523704194,458.28000000000003,38,56.87930603463145,15.326841927012442,18.70621542548625,3.927986203594897,"[[0.000185836015430562, 36], [0.00025193368523704194, 38]]",2,414,0.3790936338255745
0,EI,F/S,N,false,false,1,1021,0.07276704483821875,336.93,33,1.0468468468468468,0,0,8.56631843034399,2.1478380522524265,602.3900000000001,59,0.4316816557681298,0,0,0.00017846138441932307,306.3,30,42.451859109423374,10.414337744458669,12.71165561730155,0.6826279485018613,"[[0.0001516433078215137, 26], [0.00017846138441932307, 30]]",2,253,0.3933310533186589
