Subject,Experiment,File,Gender,Age,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
45,plurals,471756454-1431079675.json,f,50,16.55,"[125, 333, 39]",mouse,right,english,False,"{'y': 0.17337424761005546, 'x': 0.49951409135082603}",False,no,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",1584
46,plurals,47565591-1431079135.json,m,31,20.4,"[27, 131, 6]",trackpad,right,English,False,"{'y': 0.16873326058922725, 'x': 0.4994061215166743}",False,,True,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1920
47,plurals,476165034-1431080034.json,m,30,12.016666666666667,"[140, 314, 73]",mouse,right,English,False,"{'y': 0.1717251051893408, 'x': 0.5002576522724931}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1440
48,plurals,479675175-1431088923.json,m,40,67.38333333333334,"[318, 937, 3]",mouse,left,English,False,"{'y': 0.17317584301771766, 'x': 0.49995637378937263}",False,"No strategy.  But wow, this wasn't working well, it would freeze about every 5th click.  Very frustrating.",False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1920
49,plurals,510908399-1431084173.json,f,47,19.3,"[104, 349, 3]",mouse,right,English,False,"{'y': 0.17284132841328415, 'x': 0.49937502111415155}",False,,False,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.5.1000 Chrome/30.0.1599.101 Safari/537.36",1026
50,plurals,533593585-1431085385.json,m,32,62.63333333333333,"[158, 361, 61]",mouse,right,Romania,False,"{'y': 0.17317988491368527, 'x': 0.500412881915772}",False,"no strategy, just read the sentence",False,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1280
53,plurals,585338796-1431079601.json,f,38,24.8,"[149, 393, 57]",mouse,left,english,False,"{'y': 0.1694915254237288, 'x': 0.49990243902439024}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1005
54,plurals,592377041-1431088207.json,f,35,16.166666666666668,"[114, 395, 24]",mouse,right,English,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,No,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
58,plurals,620621801-1431090517.json,f,36,24.816666666666666,"[84, 222, 2]",mouse,right,English,False,"{'y': 0.17302243485531144, 'x': 0.5002981006728558}",False,,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36",1920
60,plurals,629528479-1431081785.json,f,55,27.316666666666666,"[194, 489, 69]",mouse,right,English,False,"{'y': 0.17044657470189384, 'x': 0.4997313272434175}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1600
