Subject,File,Gender,Age,Color,Change,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
25,485153965-1505744768.json,m,42,No.,"Yes, often.  It changed twice just as I selected the (by then) wrong color.  It was the other color right at the moment I chose it...",4.283333333333333,"[57, 97, 17]",mouse,right,English,False,"{'y': 0.09726329034287512, 'x': 0.2691993720565149}",False,I just focused intently!,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
26,490214844-1505746076.json,f,29,no,yes,3.25,"[50, 88, 22]",mouse,right,english,False,"{'y': 0.09697123030215411, 'x': 0.2692196636107702}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1920
27,492074049-1505683283.json,m,31,no,"yes, it would change sometimes after you had moved",4.1,"[88, 152, 39]",mouse,right,english,False,"{'y': 0.09593474883480062, 'x': 0.26922246686525925}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1280
28,517783377-1505744636.json,m,30,no,yes,3.0166666666666666,"[47, 79, 29]",mouse,right,English,False,"{'y': 0.09652228238234069, 'x': 0.2691987513007284}",False,thanks,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1600
29,520710181-1505750226.json,f,33,No,Yes,3.15,"[49, 78, 24]",mouse,right,English,False,"{'y': 0.09615384615384616, 'x': 0.2692307692307692}",False,,False,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
30,559215290-1505680664.json,f,44,no,"Shortly after I started moving, usually.",9.333333333333334,"[57, 109, 29]",mouse,right,English,False,"{'y': 0.09595362044486512, 'x': 0.26920345603029944}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36",1052
31,572066944-1505744996.json,f,29,nope,sometimes it was slow,5.066666666666666,"[60, 116, 32]",mouse,right,english,False,"{'y': 0.09646218194492855, 'x': 0.2692039714335482}",False,,False,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1680
32,576420508-1505745627.json,f,46,no,yes,7.25,"[60, 169, 21]",mouse,right,english,False,"{'y': 0.09627002161503076, 'x': 0.26918601429600486}",False,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1404
33,587202428-1505746205.json,f,29,no,"Yes, it would be one color and quickly switch to the other sometimes as I was clicking the first color.",4.233333333333333,"[44, 79, 16]",mouse,right,English,False,"{'y': 0.09726329034287512, 'x': 0.2691993720565149}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
34,601676617-1505744798.json,f,29,no,yes,4.316666666666666,"[47, 84, 24]",mouse,right,english,False,"{'y': 0.09726329034287512, 'x': 0.2691993720565149}",False,none,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
